                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2504,                 4.8125,                  3.948,                0.87778,                0.05917,                0.04442,                0.01361,                 2.6881,                 3.5904,                 3.4772,             0.00019516,             0.00019516,             0.00019516
                      2,                 2.5429,                  3.837,                 3.1169,                0.54584,                0.15457,                0.17004,                0.07902,                 2.2401,                 4.3946,                 2.8134,             0.00038341,             0.00038341,             0.00038341
                      3,                 2.0759,                 3.1678,                 2.5412,                 0.3393,                0.37319,                0.32355,                0.15592,                 1.8243,                  2.497,                 2.4497,              0.0005639,              0.0005639,              0.0005639
                      4,                 1.7779,                 2.6407,                  2.223,                0.66394,                0.42625,                0.47714,                0.27775,                 1.6188,                 2.1288,                 2.0559,             0.00055307,             0.00055307,             0.00055307
                      5,                  1.631,                 2.3349,                 2.0487,                0.58221,                0.58993,                0.61309,                0.39316,                 1.3747,                 1.7651,                 1.9093,             0.00054143,             0.00054143,             0.00054143
                      6,                 1.5344,                 2.1022,                 1.9482,                0.46794,                0.63468,                0.59132,                0.39072,                 1.3008,                 1.7766,                 1.7808,             0.00052979,             0.00052979,             0.00052979
                      7,                 1.4558,                 1.9644,                 1.8544,                0.58599,                 0.7211,                0.69574,                0.45489,                 1.3295,                 1.6684,                 1.7541,             0.00051815,             0.00051815,             0.00051815
                      8,                 1.4136,                 1.8224,                 1.8152,                0.71908,                0.67814,                0.75065,                0.52914,                 1.2057,                 1.3226,                 1.6685,              0.0005065,              0.0005065,              0.0005065
                      9,                 1.3676,                 1.7192,                 1.7605,                0.67039,                 0.7227,                0.78224,                0.54098,                  1.223,                 1.3393,                 1.6255,             0.00049486,             0.00049486,             0.00049486
                     10,                 1.3447,                 1.6585,                 1.7289,                0.78319,                0.66416,                0.79311,                0.58161,                 1.0833,                 1.3064,                 1.5453,             0.00048322,             0.00048322,             0.00048322
                     11,                 1.3071,                 1.5661,                 1.6881,                0.75283,                0.77657,                0.81216,                0.59793,                 1.1124,                 1.1649,                 1.5485,             0.00047158,             0.00047158,             0.00047158
                     12,                 1.2882,                 1.5368,                 1.6675,                0.75323,                0.78341,                0.82313,                0.61356,                 1.0423,                  1.104,                 1.4666,             0.00045993,             0.00045993,             0.00045993
                     13,                 1.2659,                 1.4788,                 1.6504,                0.68811,                0.79788,                0.81529,                0.61516,                0.97102,                 1.2135,                  1.437,             0.00044829,             0.00044829,             0.00044829
                     14,                 1.2331,                 1.4154,                 1.6179,                 0.7804,                0.75575,                0.84728,                0.64232,                  1.002,                 1.0699,                 1.4479,             0.00043665,             0.00043665,             0.00043665
                     15,                 1.2216,                 1.3797,                 1.6113,                0.74875,                0.82721,                0.84687,                0.64583,                0.97033,                 1.0256,                 1.4245,             0.00042501,             0.00042501,             0.00042501
                     16,                 1.2067,                 1.3365,                 1.5947,                0.83277,                0.82303,                 0.8741,                0.65015,                 1.0109,                 1.0016,                  1.413,             0.00041336,             0.00041336,             0.00041336
                     17,                 1.1835,                 1.2963,                 1.5668,                0.80097,                0.83367,                0.86444,                0.66407,                0.98794,                 1.0117,                 1.4216,             0.00040172,             0.00040172,             0.00040172
                     18,                 1.1867,                 1.2819,                 1.5744,                0.78396,                0.81144,                0.87502,                0.67943,                 0.9314,                0.95534,                 1.3675,             0.00039008,             0.00039008,             0.00039008
                     19,                 1.1572,                 1.2375,                 1.5332,                0.81069,                0.86509,                0.89968,                0.67763,                0.99032,                0.90677,                 1.3919,             0.00037844,             0.00037844,             0.00037844
                     20,                 1.1477,                 1.2261,                 1.5337,                0.81616,                0.80018,                0.89289,                0.70385,                0.86897,                 0.9045,                 1.3331,             0.00036679,             0.00036679,             0.00036679
                     21,                 1.1387,                 1.1916,                 1.5269,                0.83375,                0.85324,                0.89731,                0.71313,                 0.9195,                0.85899,                 1.3454,             0.00035515,             0.00035515,             0.00035515
                     22,                 1.1212,                 1.1639,                   1.51,                0.81581,                0.80643,                0.88723,                0.68884,                0.91836,                0.88517,                 1.3488,             0.00034351,             0.00034351,             0.00034351
                     23,                 1.1081,                 1.1342,                 1.4893,                0.84738,                0.86309,                0.91361,                0.73448,                0.87275,                0.79136,                 1.3252,             0.00033187,             0.00033187,             0.00033187
                     24,                 1.1124,                  1.108,                 1.5018,                0.88561,                0.85983,                0.91713,                0.73813,                0.86654,                 0.7688,                 1.3247,             0.00032022,             0.00032022,             0.00032022
                     25,                 1.1104,                 1.1096,                 1.4938,                0.87365,                0.84842,                0.90687,                0.72647,                0.85885,                0.80003,                 1.2994,             0.00030858,             0.00030858,             0.00030858
                     26,                 1.0939,                 1.0892,                 1.4732,                0.85417,                 0.8608,                0.91933,                 0.7389,                0.84849,                0.77279,                 1.2926,             0.00029694,             0.00029694,             0.00029694
                     27,                 1.0763,                 1.0712,                 1.4625,                0.86085,                0.83845,                0.92372,                0.75034,                0.81065,                0.76198,                 1.2703,              0.0002853,              0.0002853,              0.0002853
                     28,                 1.0532,                 1.0296,                 1.4379,                0.89051,                0.85431,                0.92901,                0.74733,                0.82426,                0.71607,                 1.2776,             0.00027366,             0.00027366,             0.00027366
                     29,                 1.0474,                 1.0175,                 1.4353,                0.82752,                0.87813,                0.92494,                0.74105,                0.82582,                 0.7426,                 1.2676,             0.00026201,             0.00026201,             0.00026201
                     30,                 1.0577,                 1.0195,                 1.4408,                0.86076,                0.86245,                0.92437,                0.74885,                0.80565,                0.70566,                 1.2604,             0.00025037,             0.00025037,             0.00025037
                     31,                 1.0428,                0.99389,                 1.4287,                0.85723,                0.89395,                0.92909,                0.74645,                0.80726,                0.68768,                 1.2596,             0.00023873,             0.00023873,             0.00023873
